Fell/found?,Meteor mass classes,Place,Type of meteorite,Year,Coordinate 1,Coordinates 2,"Sum of Mass, g"
Fell,> 40kg,Wuan,H6,1986,36.75,114.25,50000
Found,> 40kg,Wolsey,"Iron, IAB-MG",1981,44.4,-98.53333,74830
Found,> 40kg,Vyatka,H4,1991,57.53333,49,45000
Found,> 40kg,Ust-Nyukzha,"Iron, IAB complex",1992,56.38333,120.46667,44000
Found,> 40kg,Urua?u,"Iron, IAB-MG",1992,-14.53333,-48.76667,72500
Found,> 40kg,Tres Castillos,"Iron, ungrouped",1992,29.47,-105.8,150000
Found,> 40kg,Tafassasset,CR-an,2000,20.76333,10.44167,114000
Found,> 40kg,Sychevka,"Iron, IIIAB",1988,51.125,127.495,65000
Found,> 40kg,Sukhoj Liman,H4/5,1987,46.4,30.8,48000
Fell,> 40kg,Suizhou,L6,1986,31.61667,113.46667,260000
Fell,> 40kg,Sterlitamak,"Iron, IIIAB",1990,53.66667,55.98333,325000
Found,> 40kg,Soledade,"Iron, IAB-MG",1986,-29.05,-51.43333,68000
Fell,> 40kg,Sivas,H6,1989,39.82467,36.13583,40000
Found,> 40kg,Sierra Colorada,L5,1995,-40.8,-67.48333,71300
Found,> 40kg,SaU 001,L5,2000,20.51667,56.66667,450000
Found,> 40kg,Rio Limay,L5,1995,-39.85,-69.48333,280000
Found,> 40kg,Richfield,LL3.7,1983,37.22222,-101.68139,40800
Found,> 40kg,Retuerta del Bullaque,"Iron, IAB-MG",1980,39.45889,-4.3775,100000
Found,> 40kg,Renfrow,L6,1986,36.98667,-97.555,81600
Fell,> 40kg,Rahimyar Khan,L5,1983,28.225,70.2,67225
Found,> 40kg,Quijingue,"Pallasite, PMG",1984,-10.75,-39.21667,59000
Fell,> 40kg,Portales Valley,H6,1998,34.175,-103.295,71400
Fell,> 40kg,Piplia Kalan,Eucrite-mmict,1996,26.03472,73.94167,42000
Found,> 40kg,Pallasovka,"Pallasite, PMG",1990,49.86667,46.61167,198000
Found,> 40kg,Owasco,L6,1984,41.2,-103.68333,168400
Fell,> 40kg,Omolon,"Pallasite, PMG",1981,64.02,161.80833,250000
Found,> 40kg,Ngiangri,Iron,1983,32.2,87.8,700000
Fell,> 40kg,Mount Tazerzait,L5,1991,18.7,4.8,110000
Found,> 40kg,Mont Dieu,"Iron, ungrouped",1994,49.55,4.86667,360000
Found,> 40kg,Miles,"Iron, IIE",1992,-27.83333,150.33333,265000
Fell,> 40kg,Mbale,L5/6,1992,1.06667,34.16667,150000
Found,> 40kg,Mafuta,"Iron, IID",1984,-16.9025,30.40722,71500
Found,> 40kg,Macy,L6,1984,34.21667,-103.91667,42000
Fell,> 40kg,Machinga,L6,1981,-15.21222,35.24222,93200
Found,> 40kg,Longtian,"Iron, IIIAB",1991,27.35,108.5,350000
Fell,> 40kg,Lohawat,Howardite,1994,26.96556,72.62667,40000
Found,> 40kg,LEW 85320,H5,1985,-84.26223,161.41628,110224
Found,> 40kg,Lahmada 009,H3-6,1999,27.16667,-9.5,70000
Fell,> 40kg,La Criolla,L6,1985,-31.23333,-58.16667,45000
Fell,> 40kg,Kunya-Urgench,H5,1998,42.25,59.2,1100000
Found,> 40kg,Korra Korrabes,H3,1996,-25.2,18.08333,140000
Fell,> 40kg,Kidairat,H6,1983,14,28,100000
Fell,> 40kg,Kheri Maham,L5,1986,28.97083,76.32278,68500
Found,> 40kg,Julesburg,L3.6,1983,39.975,-102.26667,57900
